hash,text,count,cosineSim,label,
-4.23687E+18,"VIRUS SPREADING LIKE WILDFIRE ON FB. ITS A TROJAN WORM VIRUS CALLED KOOBFACE. IT'LL STEAL YOUR INFO, INFEST YOUR SYSTEM AND SHUT IT DOWN. DO NOT OPEN THE LINK (BARACK OBAMA CLINTON SCANDAL)IF SOMEBODY CALLED /SMARTGRRL15/"" TRIES TO ADD U DON'T ACCEPT IT IS A VIRUS. IF SOMEBODY ON UR LIST ADDS THEM","[0, 0, 0, 0, 0, 0, 0, 0, 0]",0.956188602,suspect,quote
7.22545E+18,"Im having a cookout at my house on Sunday, July 11th. Id love to see my friends and their kids as well. Please let me know if you are coming and how many so I can get a headcount for food. Thanks! =)","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.935768728,suspect,
-8.00706E+18,"Feels Amazing! I am so happy right now! I helped a friend, and I am falling in love again...stupid love....If you want to hang out ask because I definitely don't have much to do most of the time. Although I also lost a friend. I made a decision.. I am not thinking much at all about running away or killing myself anymore and I will work as hard as I can on being happy.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.921939974,suspect,
-7.09315E+18,"hey for anyone who is going to want to get a hold of me in the next few days. my phone is partially broken, with my inbox full and no way to delete it. so if you need to get a hold of me. give me a call and leave a message, thanks.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.92222761,suspect,
7.56644E+18,They say true friends go long periods of time without speaking and never question their friendship. These friends pick up like they just spoke yesterday regardless of how long it has been or how far they live and they don't hold grudges. They understand life is busy but you will always love them. Re-post if you have at least 1 of these friends. I am privileged to say that I do!,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0.924270349,suspect,quote
5.562E+18,"Danielle has been through a lot this summer and especially over the past week with her dad. I hope you all, her friends on my list, will give her support and make her smile and laugh as much as possible. Also, please help her cope with the not so nice ppl that dont understand. Thanks, all. xoxox","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.943258387,suspect,
-7.02236E+18,"Was looking for phone and couldn't find it...Thought I put it in the washer machine by accident, which is running. Luckily I found it on my dresser.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.922051589,suspect,
-2.80577E+18,"I may be very careful with every thing, but it doesn't mean I'm afraid to sacrifice and lose. I only want to take things seriously with purpose, avoiding selfish reasons and repeated mistakes, to give the best things that I can for others, and of course considering what GOD may feel to all the decisions I make in different situations. My decisions are always selfless -- always for others' concerns!","[0, 0, 0, 0, 6, 0, 0, 0, 0, 0]",0.926731879,suspect,
4.39567E+18,no matter where u go there's always one employee who's a slight liability issue - like the elderly hca who decides to write on ur fluid//pain score charts without speaking to u then continues to repeatedly drop the charts before offerin u some burnt toast several times as she forgot ur answer *tut*,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.926950167,suspect,
-4.1279E+17,It's almost time for me to re-order some checks....I normaly use ChecksUnlimited...But their prices seem to be a little steep...does anyone use anything different? I saw wal-mart offers check printing on their website but i don't know how reliable they are...any feed back would be awesome!,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.925953042,suspect,
2.56605E+18,"First day of being graduated and feelin' the stress already. Gotta Take the Accuplacer tomorrow, Friday I got a mini-graduation thing at my school. Then I gotta talk to my counselor and turn in some letters for my FAFSA, which will hopefully be done by then. And Then after all that i need to start thinking about jobs and stuff.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.944770829,suspect,
4.81502E+17,"my tummy hurts, Matthew's at work, and I'm pretty sure if my Wii were a person it'd be wondering why I keep giving it death stares. Can it be the weekend yet? =(","[0, 0, 0, 0, 0, 0, 0, 0, 0]",0.928601476,suspect,
3.58327E+18,"Going to church doesn't make you a holy person any more than going to a garage makes you a mechanic.   A disposition towards inquiry deprived the feline of its vital state, Otherwise known as - Curiosity killed the cat   A lie well stuck to is as good as the truth.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.936194893,suspect,quote
-8.16783E+18,Why is it that no matter HOW my life is actually GOING I'm almost always depressed for a reason I can't seem to put my finger on. Or maybe I'm just confusing boredom with depression... I MAY do that because I find when I'm depressed I tend to be bored. Can't think of anything to do! And I be unhappy.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.95555677,suspect,
4.77099E+18,"[I][B] [//] [//][I][B]An oil field hand is missing his family while providing a service that keeps you on the road and with many comforts of the modern age. In the minute it takes you to read this, oil field workers are working hard while sweating out a living for their families. It's /Oil Field Workers' Appreciation Week./"" [//] [//] :bravo:""","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.949057333,suspect,
2.33465E+18,"A facebook challenge...During this couple of weeks before Easter, I am out to prove that my friends will repost, I hope I am right!!! Easter is not about bunnies, chicks, or chocolate eggs. Let's lift up God's name and make a statement!! When Jesus died on the cross he was thinking of You and Me. If you are not ashamed to call Jesus Christ your savior, copy and repost","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.937409312,suspect,
-7.41353E+18,I am so depressed and so angry at my life right now. I just want it ALL to go away. I want to roll up in a corner and fall asleep forever. I am so tired of disappointing everyone and disappointing myself. I am tired of making everyone's life harder... in 2 days I will be 24 and I have accomplished NOTHING. All I want is to make everyone happy... but you can't make EVERYONE happy. Why's life so freakin hard?,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.921577274,suspect,
-7.71768E+18,"Facebook NEIGHBOR APPRECIATION DAY ! If you appreciate your gaming friends for all their help & moral support they give you, then let them know by posting this on your wall. I truly appreciate my friends ... without them this wouldn't be nearly as much fun. I have GREAT neighbors, Thank you all -- you are the best","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0]",0.924986803,suspect,
-5.11672E+18,"On Sat, July 24th at 4pm theres a benefit for Terrell Maxwell at On Deck. Next to the softball fields on 11th and 12th in Hess. Everyone come out and donate! The benefit is to help cover the cost of funeral expenses... Please pass this on! RIP Terrell - Youll never be forgotten!","[0, 0, 0, 0, 0, 0, 0, 0, 0]",0.926908947,suspect,
5.62198E+18,"I went out with a zombie vampire (Dante), Joker (Doug), Fairy Princess (Keili), Jack Sparrow (Andrew), and The Wicked Witch of the East (Schala). What a night got tons of candy to check for razor blades and poison ;) ;) Goodnight my loves <3","[0, 0, 0, 0]",0.951972173,suspect,
2.31782E+18,top 15 tv shows:  1) Family Guy  2)Mad Men  3)Bored to Death  4)Project Runway  5)True Blood  6) Anderson Cooper 360  7)the Osbournes  8) South Park  9)Daria  10)All That  11) Real Time With Bill Maher  12) the O'Reilly Factor(because I like laughing at Billy Boy)  13) Fringe  14)Tim and Eric  15)the Venture Bros,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.951650378,suspect,
-1.98676E+18,"From Lady Gaga's Bad Romance: /I want your psycho; Your vertigo stick; Want you in my rear window; Baby youâ”¬Ã†re sick/"" Alfred Hitchcock references ANYONE? :DDDD""","[4, 0, 0]",0.932406193,suspect,quote
-7.83179E+18,"just made the best salad EVER: grilled veggie chicken, green leafys, sweet onion, purple cabbage, orange pepper, oil & vinegar + dried soynuts, dried cranberries, and a sprinkle of feta cheese mmmm!!","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.947670283,suspect,
1.10949E+18,"knew in the knews? IVE GOT NEW HAIR. well not neww hair but a new hair style. The wedding was a lot better than i expected, escpecially dance with Emily Halsall.","[0, 0, 0, 0, 0, 0, 0]",0.928993866,suspect,
