,hash,text,count,cosineSim,label
0,-7.93E+18,A morning filled with the goodness of God's peace and a nice cup of coffee. This day is off to a great start!,"[1, 1, 5, 7, 5, 7, 1, 1, 6, 0]",0.901425854,0
1,2.91E+18,"The first woman was created from the rib of a man. She was not made from his head to top him, nor from his feet to be trampled on by him, but out of his side to be equal to him, under the arm to be protected & next to the heart to be loved","[5, 2, 3, 1, 1, 1, 1, 1, 3, 0]",0.976999315,1
2,1.98E+18,"I am as vain as i allow. I do my hair, i gloss my eyes, i touch myself all through the night","[5, 7, 3, 5, 9, 9, 5, 1, 1, 0]",0.968646449,1
3,-8.99E+18,"2) But because the pieces aren't exact, I have some rough edges which I cherish because they remind me of the love we shared. Sometimes I have given pieces of my heart away and the other person has not returned a piece of his heart to me. These are empty gouge...","[1, 1, 1, 1, 3, 1, 1, 1, 1, 3]",0.956225839,1
4,8.54E+18,"In ten minutes, my computer will announce to me that it is 10:00 in a creepy stalker voice at top volume. I love Macs. XD","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.878046951,0
5,2.19E+18,"One more thing lol, the /Get schooled/"" thing was to promote the website and the Artist(s) new albums coming out anybody notice that?","[1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",0.875314938,0
6,-3.40E+18,Lucasfilm's has stated that as the movie industries technology advanced so will Star Wars. Two Examples: Yoda will be completely digital in all six films and They will be in Dreamworks 3D.,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.856508672,0
7,1.15E+18,OMG what is happening to this world there was a shooting at Central our children arent safe anywhere what sad sad world we live in,"[1, 1, 1, 1, 1, 1, 1, 5, 1, 1]",0.89893226,0
8,-7.69E+18,"I must be a horrible person to be around, since people always lie to me and then fuck off when inviting me to things...I should just die and get out of everyone's way. x <////3 I Feel like I'm permanently losing you...x","[1, 1, 1, 1, 1, 1, 1, 1, 3, 1]",0.907984031,0
9,4.20E+18,"so many disney movies to watch! already got mulan, beauty and the beast, the little mermaid, and aladdin in the bag. what's next? any suggestions?","[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",0.907804148,0
10,3.69E+18,"Now its time to see what is real who is real, who will stand by you and who will run. Time for a new beging new life.","[5, 5, 5, 5, 1, 1, 1, 1, 1, 0]",0.828496016,0
11,-5.87E+18,I'm so proud of myself and all of 1st platoon for giving there all and all of us finished MURPH under 1 hour,"[1, 1, 1, 1, 5, 1, 1, 1, 1, 0]",0.865118067,0
12,4.84E+18,"its been one year, and this is the first time I've cried this much in months. I thought I got past this, but today has brought too many things back to mind. I miss her, she proved that the world really is a sick machine.","[1, 1, 1, 5, 1, 3, 1, 1, 0, 0]",0.901122266,0
13,-4.24E+18,"VIRUS SPREADING LIKE WILDFIRE ON FB. ITS A TROJAN WORM VIRUS CALLED KOOBFACE. IT'LL STEAL YOUR INFO, INFEST YOUR SYSTEM AND SHUT IT DOWN. DO NOT OPEN THE LINK (BARACK OBAMA CLINTON SCANDAL)IF SOMEBODY CALLED /SMARTGRRL15/"" TRIES TO ADD U DON'T ACCEPT IT IS A VIRUS. IF SOMEBODY ON UR LIST ADDS THEM","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",0.956188602,1
14,7.23E+18,"Im having a cookout at my house on Sunday, July 11th. Id love to see my friends and their kids as well. Please let me know if you are coming and how many so I can get a headcount for food. Thanks! =)","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.935768728,0
15,-1.77E+18,"Ther r relly only a few ppl n my friends list which i truly dnt kno, im proud 2 say... But they gone now lol","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.822094651,0
16,8.42E+18,"So... I gave Fred a bath today. He didn't hate it... but he didn't really like it either. At least, I don't think he hated it. He kept trying to slip out of the tub, and he did run around in circles trying to get the wet off... and I didn't get the water hot enough... but I don't think he HATED it or anything...","[1, 1, 1, 1, 1, 1, 2, 2, 1, 0]",0.902838542,0
17,8.81E+18,"/A government big enough to give you everything you want is big enough to take away everything you have./"" - Thomas Jefferson""","[1, 5, 5, 4, 1, 5, 1, 1, 5, 0]",0.970444673,1
18,1.14E+18,Cute Attitude of a gal:--> I am not waiting for a King.. I am waiting for the one who thinks that I am his Queen...!!!:):),"[1, 5, 5, 1, 5, 5, 5, 1, 7, 0]",0.851281397,0
19,-8.01E+18,"Feels Amazing! I am so happy right now! I helped a friend, and I am falling in love again...stupid love....If you want to hang out ask because I definitely don't have much to do most of the time. Although I also lost a friend. I made a decision.. I am not thinking much at all about running away or killing myself anymore and I will work as hard as I can on being happy.","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.921939974,0
20,6.99E+18,"OMFG! i have a job! srry, i had to tell you facebook. ur my less liked stepchild of my social network babies. lmao","[1, 1, 3, 1, 3, 1, 7, 1, 1, 1]",0.867285491,0
21,-5.59E+17,"/You expect to watch girls with big fake tits? Those are SOOO 90s! Where have YOU been these past 10 years? In a dumpster behind the plastic surgery clinic watching Baywatch reruns?/""""","[1, 7, 1, 1, 1, 1, 1, 1, 1, 1]",0.888669239,0
22,-7.09E+18,"hey for anyone who is going to want to get a hold of me in the next few days. my phone is partially broken, with my inbox full and no way to delete it. so if you need to get a hold of me. give me a call and leave a message, thanks.","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.92222761,0
23,9.09E+18,"Ahaha! I'M BAACCCKKKK!!! Bring it on people! I'm back and feeling more confident than ever and if any of you try to hurt me or mess with me again, you don't deserve my attention! This is the new me and if you don't like it...get over it! =) And to all my","[1, 1, 1, 1, 5, 1, 1, 1, 1, 0]",0.915772128,0
24,-7.22E+18,i wanted you to know how i feel but I thought that i would just keep it to myself. You don't need to know that whenever i hurt you it hurts me too. That after we parted i wanted you back so badly. That i wanted to take all those hurtful words that i've said. That i hope you'd come back and forgive me. That my love for you hasn't faded.,"[5, 1, 5, 1, 1, 5, 1, 3, 0, 0]",0.809721531,0
25,-4.01E+18,"Hehehe, this chapter is proving very fun to write: /It was a talent of mine; I had a strange connection with animals","[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",0.873699541,0
26,-8.48E+18,"Just Got Back Cheyenne Taylor's House,  Fun *_*  She Kept Bringing Up The Subject Of Me getting A Boyfriend Though,  A W K W A R D","[1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",0.747074807,0
27,-6.38E+18,| Ran four miles with my brother yesterday. No stopping. Its amazing what you can do when you put your mind to something. Eye of the Tiger! XD,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",0.905358792,0
28,2.79E+18,s mind has decided to check out for a while. It left a note saying it should be back around 11 am tomorrow.,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.868220011,0
29,8.40E+18,"hahahahahahahahhahahahaahhaha god I hate my life! hahahahhaha! XD I just found out just after three days, my ex has a guy, she says a friend, who she makes out and kisses with! WOO! Wow. I should have known. I mean she kissed 12 guys in 7 years. come on joey. wake up!","[1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",0.887688824,0
30,-8.82E+18,"I can't believe how beautiful the snow is!! 26 hours it has snowed and honestly, I could'nt tell you how many inches. Close to a foot and a half maybe?? Juno, our Jack Russell absolutely loves it!! My son and I stood in the snow and just fell backwards and laughed our butts off! I'm still 7-yrs-old!!!!!","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",0.869237018,0
31,-4.37E+18,"Danny Wallace is quite possibly a genius  Shaun Hastings is pure brilliance   I mean, who else can say a line like  /Bloody third world country/""  /""You're talking about Italy?/""  /""No","[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",0.88138472,0
32,3.19E+18,"going to the hosptial........to volunteer, got to get my mind off my problems for a few hours before my head just explodes","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.867282359,0
33,-4.30E+18,"According to the commander who planned the Osama mission, WATERBOARDING is wat got them the intel!!!  YES TERRORISTS SHUD B TORTURED 4 INFO","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.874932969,0
34,3.96E+18,*when the moon is a counterfeit*better find the one that fits*better find the one that lights the way for you*when the road is full of nails*garbage pails &darkened jails*&their tongues are full of heartless tales that drain on you*who would ever notice you?*you fade into a shaded room*&it's such a selfish way to lose*the way you lose these wasted blues*tell me that it's nobody's fault*nobody's fault*but my own*~beck,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0]",0.892232677,0
35,7.57E+18,They say true friends go long periods of time without speaking and never question their friendship. These friends pick up like they just spoke yesterday regardless of how long it has been or how far they live and they don't hold grudges. They understand life is busy but you will always love them. Re-post if you have at least 1 of these friends. I am privileged to say that I do!,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",0.924270349,1
36,-2.75E+18,is back in reality...there is too much at stake here in Minnesota to worry about a few yahoos. Back to work!!,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",0.862396746,0
37,5.40E+18,"We had a good time at the neighborhood picnic//National Night Out, but it sure is nice to be back in the air conditioning.","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",0.881678302,0
38,5.26E+18,Holy crap it only been 10 min since i said night and it felt like 30 min wtf is up with tht  1 fly black guy,"[5, 5, 1, 3, 3, 1, 1, 5, 1, 0]",0.864385139,0
39,-2.89E+18,"Ì¢‰ÛåÂÌÄå«All changes, even the most longed for, have their melancholy; for what we leave behind us is a part of ourselves; we must die to one life before we can enter another./ ~ Anatole France""","[4, 3, 5, 5, 5, 0, 0, 0, 0, 0]",0.987763479,1
40,-8.20E+18,"When you lose a part of yourself, to somebody you know. It takes a lot to let go, every breath that you remember. Pictures fade away, but memory is forever.","[9, 9, 3, 1, 5, 5, 3, 5, 1, 0]",0.959624226,1
41,-6.56E+18,"/Life is not measured by the number of breaths you take...But rather by the number of moments that take your breath away/"" Happy New Years everyone may 2010 go out with a bang and 2011 come with great rewards !!""","[2, 1, 2, 1, 1, 0, 0, 0, 0, 0]",0.944199727,1
42,-8.54E+18,So are you guys aware that people actually post romantic ads on craigslist! I thought it was a joke And people put pictures up and shit.,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.853311441,0
43,5.56E+18,"Danielle has been through a lot this summer and especially over the past week with her dad. I hope you all, her friends on my list, will give her support and make her smile and laugh as much as possible. Also, please help her cope with the not so nice ppl that dont understand. Thanks, all. xoxox","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.943258387,0
44,-7.02E+18,"Was looking for phone and couldn't find it...Thought I put it in the washer machine by accident, which is running. Luckily I found it on my dresser.","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.922051589,0
45,6.12E+18,"Ì¢‰ÛåÂÌÄå«Love is not a feeling. Love is an action, an activity. . .Genuine love implies commitment and the exercise of wisdom. . . . love as the will to extend oneself for the purpose of nurturing one's own or another's spiritual growth.....true love is an act of will that often transcends ephemeral feelings of love or cathexis, it is correct to say, 'Love is as love does'.Ì¢‰ÛåÂÌÄå¦ ~ M. Scott Peck","[1, 2, 1, 1, 1, 0, 0, 0, 0, 0]",0.974150799,1
46,8.40E+18,"Interesting thoughts from a comedian I heard around a week ago, maybe. His daughter called him poo-poo head, and in adult speak she just called him.. Figure the rest out yourself, I think it's obvious now. :P","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",0.860141185,0
47,-6.22E+18,"we're driving to the dentsit so i ccan get my tooth pulled. well, half a tooth that never came out pulled.","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.858638754,0
