hash,text,count,cosineSim,label
-7930556086324998576,A morning filled with the goodness of God's peace and a nice cup of coffee. This day is off to a great start!,"[0, 0, 4, 6, 4, 6, 0, 0, 5]",0.9014258540138601,suspect
2910595793453299072,"The first woman was created from the rib of a man. She was not made from his head to top him, nor from his feet to be trampled on by him, but out of his side to be equal to him, under the arm to be protected & next to the heart to be loved","[4, 1, 2, 0, 0, 0, 0, 0, 2]",0.9769993154201844,quote
1981869232480540149,"I am as vain as i allow. I do my hair, i gloss my eyes, i touch myself all through the night","[4, 6, 2, 4, 8, 8, 4, 0, 0]",0.9686464488537065,quote
-8989628111054091536,"2) But because the pieces aren't exact, I have some rough edges which I cherish because they remind me of the love we shared. Sometimes I have given pieces of my heart away and the other person has not returned a piece of his heart to me. These are empty gouge...",null,null,NotQuote
8544067489915217156,"In ten minutes, my computer will announce to me that it is 10:00 in a creepy stalker voice at top volume. I love Macs. XD",null,null,NotQuote
2191410428590746871,"One more thing lol, the /Get schooled/"" thing was to promote the website and the Artist(s) new albums coming out anybody notice that?",null,null,NotQuote
-3395354186949117521,Lucasfilm's has stated that as the movie industries technology advanced so will Star Wars. Two Examples: Yoda will be completely digital in all six films and They will be in Dreamworks 3D.,null,null,NotQuote
1150828611673469490,OMG what is happening to this world there was a shooting at Central our children arent safe anywhere what sad sad world we live in,null,null,NotQuote
-7691467408934468021,"I must be a horrible person to be around, since people always lie to me and then fuck off when inviting me to things...I should just die and get out of everyone's way. x <////3 I Feel like I'm permanently losing you...x",null,null,NotQuote
4199980042356078290,"so many disney movies to watch! already got mulan, beauty and the beast, the little mermaid, and aladdin in the bag. what's next? any suggestions?",null,null,NotQuote
3691774172744315068,"Now its time to see what is real who is real, who will stand by you and who will run. Time for a new beging new life.","[4, 4, 4, 4, 0, 0, 0, 0, 0]",0.8284960162272665,suspect
-5872548697187971912,I'm so proud of myself and all of 1st platoon for giving there all and all of us finished MURPH under 1 hour,null,null,NotQuote
4841948947240382654,"its been one year, and this is the first time I've cried this much in months. I thought I got past this, but today has brought too many things back to mind. I miss her, she proved that the world really is a sick machine.",null,null,NotQuote
-4236871884100173771,"VIRUS SPREADING LIKE WILDFIRE ON FB. ITS A TROJAN WORM VIRUS CALLED KOOBFACE. IT'LL STEAL YOUR INFO, INFEST YOUR SYSTEM AND SHUT IT DOWN. DO NOT OPEN THE LINK (BARACK OBAMA CLINTON SCANDAL)IF SOMEBODY CALLED /SMARTGRRL15/"" TRIES TO ADD U DON'T ACCEPT IT IS A VIRUS. IF SOMEBODY ON UR LIST ADDS THEM",null,null,NotQuote
7225454971340405772,"Im having a cookout at my house on Sunday, July 11th. Id love to see my friends and their kids as well. Please let me know if you are coming and how many so I can get a headcount for food. Thanks! =)",null,null,NotQuote
-1771405532782589873,"Ther r relly only a few ppl n my friends list which i truly dnt kno, im proud 2 say... But they gone now lol",null,null,NotQuote
