hash,text,count,cosineSim,label
-7930556086324998576,A morning filled with the goodness of God's peace and a nice cup of coffee. This day is off to a great start!,"[1, 1, 5, 7, 5, 7, 1, 1, 6, 0]",0.9014258540138601,NotQuote
2910595793453299072,"The first woman was created from the rib of a man. She was not made from his head to top him, nor from his feet to be trampled on by him, but out of his side to be equal to him, under the arm to be protected & next to the heart to be loved","[5, 2, 3, 1, 1, 1, 1, 1, 3, 0]",0.9769993154201844,quote
1981869232480540149,"I am as vain as i allow. I do my hair, i gloss my eyes, i touch myself all through the night","[5, 7, 3, 5, 9, 9, 5, 1, 1, 0]",0.9686464488537065,quote
-8989628111054091536,"2) But because the pieces aren't exact, I have some rough edges which I cherish because they remind me of the love we shared. Sometimes I have given pieces of my heart away and the other person has not returned a piece of his heart to me. These are empty gouge...","[1, 1, 1, 1, 3, 1, 1, 1, 1, 3]",0.9562258392623101,quote
8544067489915217156,"In ten minutes, my computer will announce to me that it is 10:00 in a creepy stalker voice at top volume. I love Macs. XD","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.8780469505530366,NotQuote
2191410428590746871,"One more thing lol, the /Get schooled/"" thing was to promote the website and the Artist(s) new albums coming out anybody notice that?","[1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",0.8753149383919493,NotQuote
-3395354186949117521,Lucasfilm's has stated that as the movie industries technology advanced so will Star Wars. Two Examples: Yoda will be completely digital in all six films and They will be in Dreamworks 3D.,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.8565086719556603,NotQuote
1150828611673469490,OMG what is happening to this world there was a shooting at Central our children arent safe anywhere what sad sad world we live in,"[1, 1, 1, 1, 1, 1, 1, 5, 1, 1]",0.8989322602325137,NotQuote
-7691467408934468021,"I must be a horrible person to be around, since people always lie to me and then fuck off when inviting me to things...I should just die and get out of everyone's way. x <////3 I Feel like I'm permanently losing you...x","[1, 1, 1, 1, 1, 1, 1, 1, 3, 1]",0.9079840313196427,NotQuote
4199980042356078290,"so many disney movies to watch! already got mulan, beauty and the beast, the little mermaid, and aladdin in the bag. what's next? any suggestions?","[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",0.9078041479823,NotQuote
