hash,text,count
1575839462831906493,Grr. Why can't people just tell you how they feel? It wuld make a few things in the world a lot easier.,"[2, 0, 0, 0, 0, 0, 0, 0]"
8793284034865838422,"Fall to your knees, is what you told me. How can I believe? When you live a lie to my face, it's nothing new to me..","[8, 4, 2, 2, 8, 2, 0, 4]"
7423260728607751305,1 vodka : ) 2 vodka : ) 3 vodka : ) DOOR! 5 vodka : ) 6 vodka : ) 7 vodka : ) FLOOR! : ),"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
3816018292188875374,"Emmelyne Kim, I reserved a place at Victoria and Albert's! Fri July 1, 5:30pm :D I gave them your full name X)","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
-5552751969430837901,How sad. I ran from my room to the bathroom and I'm already tired... I need a exercise buddy... WHO'S ACTUALLY SERIOUS ABOUT IT UNLIKE SOMEONE. ... You know who you are... *Glares*,"[0, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
-3430117968530749605,"Hey. So. Thank you for all the birthday wishes. :) And my locker number is C-5280. If you would like AN APPETIZING AND ABSOLUTELY ADORABLE CUPCAKE, you should stop by before school between 7:15 and the second warning bell. Okay? Okay. Goodnight. :)","[0, 0, 0]"
6843608326280420635,"hey today was chinese new year.../Happy New Year to my Chinese friends. And happy nothing to most people I know.┬ö Homer Simpson""","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
4765701826385622873,I feel like I should have mentioned Heidi Montag in my essay which had a part about society being obsessed with bodily perfection.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
345141120126129952,has had a pretty good day today ... especially in French were she had half a bag of dolly mix ... tasty,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1941008520559684770,is at Megan's party with Parmooney. And clyde (who rhea thinks is gay). And Rhea. And a whole ton of people.,"[0, 0, 0, 0, 0]"
3583265224855510166,"Going to church doesn't make you a holy person any more than going to a garage makes you a mechanic.   A disposition towards inquiry deprived the feline of its vital state, Otherwise known as - Curiosity killed the cat   A lie well stuck to is as good as the truth.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
-5576974325292944380,Waiting for mi ramen noodle in a cup to cook... who says you need boiling water? all i need is a sink :),"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
5242889677370111064,can't believe that darling DAFFY DUCKY is on MSN at the same time as her so she's making the most of the time. MISS YOU DUCK!,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
-8167831187062085273,Why is it that no matter HOW my life is actually GOING I'm almost always depressed for a reason I can't seem to put my finger on. Or maybe I'm just confusing boredom with depression... I MAY do that because I find when I'm depressed I tend to be bored. Can't think of anything to do! And I be unhappy.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
-106064718486064328,"a friend invited me to watch scott pilgrim today, this will be the second in a week but i dont mind at all, that movie was AMAZING!!!","[4, 0, 2, 0, 0, 0, 0, 0, 0]"
