hash,text,count,cosineSim,label
2105763838812715799,"is thinking that it is time for a Pimm's O'clock, don't you? Er don't have any Pimm's... next best thing then chilled cider :)",null,null,NotQuote
88205125263898926,"I'm really tempted to just start spewing some ultra-dark humor on my status updates, however, such humor is usually never understood in text format.",null,null,NotQuote
-5622353098211574848,"has to get ready to go work out, will be gone until at least 8:30 p.m., and will love every minute of it. Hopefully, someone here is at the YMCA! That would be sooo cool!",null,null,NotQuote
-8732887956602321009,"Panic-stricken, I just remembered I have a million things to do before the end of the semester and there's only fourteen days left!!!!",null,null,NotQuote
2424300132309976803,GETTING A NEW GUTAR FUYOOOO YAY BUT I NEED A NEW JOB MONDO EMERGENCY NOW WHERES THE EMERGENCY BUTTON WHEN I NEED EM,null,null,NotQuote
6998042102705365804,"Change  your default facebook picture to a cartoon from your childhood. The  goal? To not see a human face on facebook until Monday the 6th of Dec.  Join the fight against child abuse, and invite your friends to do the  same.",null,null,NotQuote
8597971679049865863,"Just met the Lucky Charms Leperchaun. In other related news, tonight is grounds for hooliganism. One last night of shenanigans before non stop academia. God bless and USA chants all around.",null,null,NotQuote
6628246347739757054,I had five teeth pulled and i feel like shite also dropped my phone in the toliet so if you try to call me my phone does not work. Anyone know any good books I got a library card with my new last name ?,null,null,NotQuote
6090805872060426608,"Music is a moral law. It gives soul to the universe, wings to the mind, flight to the imagination, and charm and gaiety to life and to everything.","[0, 0, 3, 4, 3, 2, 0, 0, 4]",0.9751380265508027,quote
4052280422213960382,Could you imagine what hell would break loose if the last Harry Potter movie and next Twilight movie were released on the same day?,null,null,NotQuote
-8832271383210292235,"One day a young man? on acid realized that all matter is merely energy condensed to a slow vibration, that we are all one consciousness experiencing itself subjectively. There is no such thing as death life is only a dream and we are the imagination of ourselves.","[1, 0, 2, 0, 4, 0, 0, 0]",0.9870551668068712,quote
-5248213058775510756,"What's a swimmer in Kanto doing with a Bidoof? Seriously, it's kinda neat that Kanto trainers are carrying around Sinnoh Pokemon, but who takes a Bidoof out to battle while swimming? Moron. Kantonians are stupid. lol Satoshi. ?___?",null,null,NotQuote
