,hash_x,text,score_x,cosineSim_x,result_x,negative_ny,distortion,magnitude,category,quote,userid_x,time_x,hash_y,score_y,cosineSim_y,result_y,userid_y,time_y
0,-7.93056e+18,A morning filled with the goodness of God's peace and a nice cup of coffee. This day is off to a great start!,"[1, 1, 5, 7, 5, 7, 1, 1, 6, 0]",[0.9014258540138601],0.0,2.0,,,,,1846cab0c654b3b49d2ed26ee74319c5,2010-03-20 13:26:53,-7.93e+18,"[1, 1, 5, 7, 5, 7, 1, 1, 6, 0]",[0.9014258540138601],0,1846cab0c654b3b49d2ed26ee74319c5,20/03/2010 13:26
1,2.9106e+18,"The first woman was created from the rib of a man. She was not made from his head to top him, nor from his feet to be trampled on by him, but out of his side to be equal to him, under the arm to be protected & next to the heart to be loved","[5, 2, 3, 1, 1, 1, 1, 1, 3, 0]",[0.9769993154201844],1.0,2.0,,,,1,aed86a3085a364f5484679649f064467,2011-04-26 22:04:31,2.91e+18,"[5, 2, 3, 1, 1, 1, 1, 1, 3, 0]",[0.9769993154201844],1,aed86a3085a364f5484679649f064467,26/04/2011 22:04
2,1.98187e+18,"I am as vain as i allow. I do my hair, i gloss my eyes, i touch myself all through the night","[5, 7, 3, 5, 9, 9, 5, 1, 1, 0]",[0.9686464488537065],1.0,2.0,,,,,f555812c118db1ecd99eec2072bbf08e,2010-11-13 0:39:19,1.98e+18,"[5, 7, 3, 5, 9, 9, 5, 1, 1, 0]",[0.9686464488537065],1,f555812c118db1ecd99eec2072bbf08e,13/11/2010 00:39
3,-8.98963e+18,"2) But because the pieces aren't exact, I have some rough edges which I cherish because they remind me of the love we shared. Sometimes I have given pieces of my heart away and the other person has not returned a piece of his heart to me. These are empty gouge...","[1, 1, 1, 1, 3, 1, 1, 1, 1, 3]",[0.9562258392623101],0.0,1.0,,3.0,,,1827f641b3ba066d3b4bf4f920ee8ed1,2010-03-08 18:33:40,-8.99e+18,"[1, 1, 1, 1, 3, 1, 1, 1, 1, 3]",[0.9562258392623101],0,1827f641b3ba066d3b4bf4f920ee8ed1,08/03/2010 18:33
4,8.54407e+18,"In ten minutes, my computer will announce to me that it is 10:00 in a creepy stalker voice at top volume. I love Macs. XD","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[0.8780469505530366],0.0,2.0,,,,,6446d8555111ee3a45aaf21453bb5bc2,2010-03-09 2:51:01,8.54e+18,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[0.8780469505530366],0,6446d8555111ee3a45aaf21453bb5bc2,09/03/2010 02:51
5,2.19141e+18,"One more thing lol, the /Get schooled/"" thing was to promote the website and the Artist(s) new albums coming out anybody notice that?","[1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",[0.8753149383919493],0.0,,,,,,11debc8e623e5e70b300287396ab263b,2010-10-02 4:17:18,2.19e+18,"[1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",[0.8753149383919493],0,11debc8e623e5e70b300287396ab263b,02/10/2010 04:17
6,-3.39535e+18,Lucasfilm's has stated that as the movie industries technology advanced so will Star Wars. Two Examples: Yoda will be completely digital in all six films and They will be in Dreamworks 3D.,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[0.8565086719556603],0.0,,,,,,7f1e19cf6c828b2b6a6953fa127a0351,2010-04-29 3:20:17,-3.4e+18,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[0.8565086719556603],0,7f1e19cf6c828b2b6a6953fa127a0351,29/04/2010 03:20
7,1.15083e+18,OMG what is happening to this world there was a shooting at Central our children arent safe anywhere what sad sad world we live in,"[1, 1, 1, 1, 1, 1, 1, 5, 1, 1]",[0.8989322602325137],0.0,1.0,,3.0,,,b68be8e3d1a310f89765f2b1bd49e548,2010-08-30 15:10:00,1.15e+18,"[1, 1, 1, 1, 1, 1, 1, 5, 1, 1]",[0.8989322602325137],0,b68be8e3d1a310f89765f2b1bd49e548,30/08/2010 15:10
8,-7.69147e+18,"I must be a horrible person to be around, since people always lie to me and then fuck off when inviting me to things...I should just die and get out of everyone's way. x <////3 I Feel like I'm permanently losing you...x","[1, 1, 1, 1, 1, 1, 1, 1, 3, 1]",[0.9079840313196427],0.0,1.0,1.0,4.0,labelling/personalizing,,9d73ecd9cf815d8bc340cd1bb8e94cfb,2010-02-23 21:51:41,-7.69e+18,"[1, 1, 1, 1, 1, 1, 1, 1, 3, 1]",[0.9079840313196427],0,9d73ecd9cf815d8bc340cd1bb8e94cfb,23/02/2010 21:51
9,4.19998e+18,"so many disney movies to watch! already got mulan, beauty and the beast, the little mermaid, and aladdin in the bag. what's next? any suggestions?","[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",[0.9078041479823],0.0,,,,,,4c4c4d5183d8541f100526a6aaaf0e43,2010-04-24 0:02:24,4.2e+18,"[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",[0.9078041479823],0,4c4c4d5183d8541f100526a6aaaf0e43,24/04/2010 00:02
