text,negative_ny,distortion,magnitude,category,quote,userid,time
A morning filled with the goodness of God's peace and a nice cup of coffee. This day is off to a great start!,2,,,,,1846cab0c654b3b49d2ed26ee74319c5,2010-03-20 13:26:53
"The first woman was created from the rib of a man. She was not made from his head to top him, nor from his feet to be trampled on by him, but out of his side to be equal to him, under the arm to be protected & next to the heart to be loved",2,,,,1,aed86a3085a364f5484679649f064467,2011-04-26 22:04:31
"I am as vain as i allow. I do my hair, i gloss my eyes, i touch myself all through the night",2,,,,,f555812c118db1ecd99eec2072bbf08e,2010-11-13 0:39:19
"2) But because the pieces aren't exact, I have some rough edges which I cherish because they remind me of the love we shared. Sometimes I have given pieces of my heart away and the other person has not returned a piece of his heart to me. These are empty gouge...",1,,3,,,1827f641b3ba066d3b4bf4f920ee8ed1,2010-03-08 18:33:40
"In ten minutes, my computer will announce to me that it is 10:00 in a creepy stalker voice at top volume. I love Macs. XD",2,,,,,6446d8555111ee3a45aaf21453bb5bc2,2010-03-09 2:51:01
"One more thing lol, the /Get schooled/"" thing was to promote the website and the Artist(s) new albums coming out anybody notice that?",,,,,,11debc8e623e5e70b300287396ab263b,2010-10-02 4:17:18
Lucasfilm's has stated that as the movie industries technology advanced so will Star Wars. Two Examples: Yoda will be completely digital in all six films and They will be in Dreamworks 3D.,,,,,,7f1e19cf6c828b2b6a6953fa127a0351,2010-04-29 3:20:17
OMG what is happening to this world there was a shooting at Central our children arent safe anywhere what sad sad world we live in,1,,3,,,b68be8e3d1a310f89765f2b1bd49e548,2010-08-30 15:10:00
"I must be a horrible person to be around, since people always lie to me and then fuck off when inviting me to things...I should just die and get out of everyone's way. x <////3 I Feel like I'm permanently losing you...x",1,1,4,labelling/personalizing,,9d73ecd9cf815d8bc340cd1bb8e94cfb,2010-02-23 21:51:41
"so many disney movies to watch! already got mulan, beauty and the beast, the little mermaid, and aladdin in the bag. what's next? any suggestions?",,,,,,4c4c4d5183d8541f100526a6aaaf0e43,2010-04-24 0:02:24
"Now its time to see what is real who is real, who will stand by you and who will run. Time for a new beging new life.",2,,,,,ec3dc451b8a811f05ace158a0d76e32e,2010-03-01 5:38:14
I'm so proud of myself and all of 1st platoon for giving there all and all of us finished MURPH under 1 hour,2,,,,,2dca898dfbdae6716a587adbfd99c542,2011-05-25 16:20:01
"its been one year, and this is the first time I've cried this much in months. I thought I got past this, but today has brought too many things back to mind. I miss her, she proved that the world really is a sick machine.",1,,5,,,b4df192aa68519bad438920735e802c0,2011-01-08 3:54:15
"VIRUS SPREADING LIKE WILDFIRE ON FB. ITS A TROJAN WORM VIRUS CALLED KOOBFACE. IT'LL STEAL YOUR INFO, INFEST YOUR SYSTEM AND SHUT IT DOWN. DO NOT OPEN THE LINK (BARACK OBAMA CLINTON SCANDAL)IF SOMEBODY CALLED /SMARTGRRL15/"" TRIES TO ADD U DON'T ACCEPT IT IS A VIRUS. IF SOMEBODY ON UR LIST ADDS THEM",1,,3,,,fbd681e79ebca2cd9509218403f23ec6,2010-05-21 19:11:09
"Im having a cookout at my house on Sunday, July 11th. Id love to see my friends and their kids as well. Please let me know if you are coming and how many so I can get a headcount for food. Thanks! =)",,,,,,bf45ea766695c09187b2d67d0fe6da3f,2010-06-19 3:33:46
"Ther r relly only a few ppl n my friends list which i truly dnt kno, im proud 2 say... But they gone now lol",2,,,,,e72db17b733836675960851cda630ff1,2011-04-28 0:35:54
"So... I gave Fred a bath today. He didn't hate it... but he didn't really like it either. At least, I don't think he hated it. He kept trying to slip out of the tub, and he did run around in circles trying to get the wet off... and I didn't get the water hot enough... but I don't think he HATED it or anything...",,,,,,994e0be0ec912bc380fbcaf8ed105401,2010-03-08 20:14:34
"/A government big enough to give you everything you want is big enough to take away everything you have./"" - Thomas Jefferson""",1,,2,,,2fba0f9dccc84f3516d8b553426af527,2010-03-29 17:07:28
Cute Attitude of a gal:--> I am not waiting for a King.. I am waiting for the one who thinks that I am his Queen...!!!:):),2,,,,,fbc2e784739d0ced1e826120474ebe42,2011-03-08 13:10:29
"Feels Amazing! I am so happy right now! I helped a friend, and I am falling in love again...stupid love....If you want to hang out ask because I definitely don't have much to do most of the time. Although I also lost a friend. I made a decision.. I am not thinking much at all about running away or killing myself anymore and I will work as hard as I can on being happy.",2,,,,,8c393982479748c5a53acaa7a3717c71,2009-08-07 6:13:13
"OMFG! i have a job! srry, i had to tell you facebook. ur my less liked stepchild of my social network babies. lmao",2,,,,,94e74338be6a3b01c918bb2e90fc5d25,2010-02-08 3:42:30
"/You expect to watch girls with big fake tits? Those are SOOO 90s! Where have YOU been these past 10 years? In a dumpster behind the plastic surgery clinic watching Baywatch reruns?/""""",1,,2,,,7597e9a96889f6b21b784f1465cf81f6,2010-03-01 7:41:26
"hey for anyone who is going to want to get a hold of me in the next few days. my phone is partially broken, with my inbox full and no way to delete it. so if you need to get a hold of me. give me a call and leave a message, thanks.",,,,,,6f2d87776863828d9f31150cedb78d56,2011-05-20 0:40:42
"Ahaha! I'M BAACCCKKKK!!! Bring it on people! I'm back and feeling more confident than ever and if any of you try to hurt me or mess with me again, you don't deserve my attention! This is the new me and if you don't like it...get over it! =) And to all my",1,2,2,blaming,,c0289bdb4cd4eda90653b2c84af61e03,2009-06-25 19:39:32
i wanted you to know how i feel but I thought that i would just keep it to myself. You don't need to know that whenever i hurt you it hurts me too. That after we parted i wanted you back so badly. That i wanted to take all those hurtful words that i've said. That i hope you'd come back and forgive me. That my love for you hasn't faded.,1,,4,,,f68268e212bc1ac0dff21524f6f73b3d,2010-12-28 9:42:21
"Hehehe, this chapter is proving very fun to write: /It was a talent of mine; I had a strange connection with animals",2,,,,,eaeabcfe25866f0455d349bae2450d88,2009-11-16 21:40:24
"Just Got Back Cheyenne Taylor's House,  Fun *_*  She Kept Bringing Up The Subject Of Me getting A Boyfriend Though,  A W K W A R D",1,,1,,,3fef95ce520c7d75408cd36ad6c4fdc6,2010-12-19 1:25:04
1- Spanish 2 P (Sanchez.. ew) 2- Algebra 2 P (Korshavn) 3- PE (Wegher) 4- English 2 P (Scifres) 5- Choir 2 ADVANCED (Mosley) 6- Choir 2 (Bloom),2,,,,,79f33b896538f4548d334ef5a4f208ce,2010-08-26 17:56:06
| Ran four miles with my brother yesterday. No stopping. Its amazing what you can do when you put your mind to something. Eye of the Tiger! XD,2,,,,,1ab4754657079071f9831fe42b3eac49,2010-11-18 13:27:08
"Where did you get that muffin? /Muffin Button./"" ... But I didn't install a muffin button.../""Then where did I get this muffin?/""...Anyways. Don't touch the gravity control. It can reach over 100 times Earth's own. /""So what you're saying is if I increase the gravity I can train harder than ever./"" No it could crush your bones and permanently has destreme- /""Bored now got to go./"" Wait! zzp....../""I like his mustache./""""",2,,,,,7f1e19cf6c828b2b6a6953fa127a0351,2010-07-19 20:42:55
s mind has decided to check out for a while. It left a note saying it should be back around 11 am tomorrow.,2,,,,,e0576e496b3bc5bd1046315ddb72646a,2009-08-25 0:10:00
"hahahahahahahahhahahahaahhaha god I hate my life! hahahahhaha! XD I just found out just after three days, my ex has a guy, she says a friend, who she makes out and kisses with! WOO! Wow. I should have known. I mean she kissed 12 guys in 7 years. come on joey. wake up!",2,,,,,c70b15854118907c8f0a234e2ba44bbc,2010-02-27 2:43:14
"I can't believe how beautiful the snow is!! 26 hours it has snowed and honestly, I could'nt tell you how many inches. Close to a foot and a half maybe?? Juno, our Jack Russell absolutely loves it!! My son and I stood in the snow and just fell backwards and laughed our butts off! I'm still 7-yrs-old!!!!!",2,,,,,9f67231b558a8e1bf07dfcc5a1aa469c,2009-12-20 1:18:18
"Danny Wallace is quite possibly a genius  Shaun Hastings is pure brilliance   I mean, who else can say a line like  /Bloody third world country/""  /""You're talking about Italy?/""  /""No",1,,2,,,4fe7be93853af48034fb053a0d0a7747,2011-01-04 20:53:49
"going to the hosptial........to volunteer, got to get my mind off my problems for a few hours before my head just explodes",1,,2,,,5c31d7d80e78643cd5289acec0561d77,2010-08-21 13:24:52
"According to the commander who planned the Osama mission, WATERBOARDING is wat got them the intel!!!  YES TERRORISTS SHUD B TORTURED 4 INFO",1,,3,,,e72db17b733836675960851cda630ff1,2011-05-04 0:02:55
*when the moon is a counterfeit*better find the one that fits*better find the one that lights the way for you*when the road is full of nails*garbage pails &darkened jails*&their tongues are full of heartless tales that drain on you*who would ever notice you?*you fade into a shaded room*&it's such a selfish way to lose*the way you lose these wasted blues*tell me that it's nobody's fault*nobody's fault*but my own*~beck,1,1,3,personalizing: nobody's fault but my own,,cf5a3f66c42918587a1428a6f7d7eec9,2010-05-20 0:27:25
They say true friends go long periods of time without speaking and never question their friendship. These friends pick up like they just spoke yesterday regardless of how long it has been or how far they live and they don't hold grudges. They understand life is busy but you will always love them. Re-post if you have at least 1 of these friends. I am privileged to say that I do!,,,,,,41ef345410ba421410cb4d09c331aec3,2010-10-10 21:15:00
is back in reality...there is too much at stake here in Minnesota to worry about a few yahoos. Back to work!!,1,,1,,,561398fccf4432b41202991b3d39623d,2010-03-12 14:44:15
"We had a good time at the neighborhood picnic//National Night Out, but it sure is nice to be back in the air conditioning.",2,,,,,0e3fdb89c7706b13891170ab2a9017c7,2010-08-04 1:48:10
Merry?* ? ┬ò ? ? ┬ò??Christmas? ?* ?*  ┬░ ? ┬░ ?* _?_____*?*?? ?* ?*? ┬ò ? ? ┬ò??  ? ? ┬ò?┬ò*//______//~??? ? ?? ?* ?*? ?* ?*  ? ? ┬ò?┬ò ? ????? ?And a happy new year... to all my facebook friends and enjoy 2011 ........?(┬ê?┬ê)?,2,,,,,40d664f87814a7aec6739b595ae9d489,2010-12-24 3:46:27
