hash,text,score,cosineSim,result
-7.930556086325E+018,A morning filled with the goodness of God's peace and a nice cup of coffee. This day is off to a great start!,"[1, 1, 5, 7, 5, 7, 1, 1, 6, 0]",[0.9014258540138601],0
2.9105957934533E+018,"The first woman was created from the rib of a man. She was not made from his head to top him, nor from his feet to be trampled on by him, but out of his side to be equal to him, under the arm to be protected & next to the heart to be loved","[5, 2, 3, 1, 1, 1, 1, 1, 3, 0]",[0.9769993154201844],1
1.98186923248054E+018,"I am as vain as i allow. I do my hair, i gloss my eyes, i touch myself all through the night","[5, 7, 3, 5, 9, 9, 5, 1, 1, 0]",[0.9686464488537065],1
-8.98962811105409E+018,"2) But because the pieces aren't exact, I have some rough edges which I cherish because they remind me of the love we shared. Sometimes I have given pieces of my heart away and the other person has not returned a piece of his heart to me. These are empty gouge...","[1, 1, 1, 1, 3, 1, 1, 1, 1, 3]",[0.9562258392623101],0
8.54406748991522E+018,"In ten minutes, my computer will announce to me that it is 10:00 in a creepy stalker voice at top volume. I love Macs. XD","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[0.8780469505530366],0
2.19141042859075E+018,"One more thing lol, the /Get schooled/"" thing was to promote the website and the Artist(s) new albums coming out anybody notice that?","[1, 1, 1, 1, 1, 0, 0, 0, 0, 0]",[0.8753149383919493],0
-3.39535418694912E+018,Lucasfilm's has stated that as the movie industries technology advanced so will Star Wars. Two Examples: Yoda will be completely digital in all six films and They will be in Dreamworks 3D.,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[0.8565086719556603],0
1.15082861167347E+018,OMG what is happening to this world there was a shooting at Central our children arent safe anywhere what sad sad world we live in,"[1, 1, 1, 1, 1, 1, 1, 5, 1, 1]",[0.8989322602325137],0
-7.69146740893447E+018,"I must be a horrible person to be around, since people always lie to me and then fuck off when inviting me to things...I should just die and get out of everyone's way. x <////3 I Feel like I'm permanently losing you...x","[1, 1, 1, 1, 1, 1, 1, 1, 3, 1]",[0.9079840313196427],0
4.19998004235608E+018,"so many disney movies to watch! already got mulan, beauty and the beast, the little mermaid, and aladdin in the bag. what's next? any suggestions?","[1, 1, 1, 1, 1, 1, 1, 1, 0, 0]",[0.9078041479823],0
3.69177417274431E+018,"Now its time to see what is real who is real, who will stand by you and who will run. Time for a new beging new life.","[5, 5, 5, 5, 1, 1, 1, 1, 1, 0]",[0.8284960162272665],0
-5.87254869718797E+018,I'm so proud of myself and all of 1st platoon for giving there all and all of us finished MURPH under 1 hour,"[1, 1, 1, 1, 5, 1, 1, 1, 1, 0]",[0.8651180670174333],0
4.84194894724038E+018,"its been one year, and this is the first time I've cried this much in months. I thought I got past this, but today has brought too many things back to mind. I miss her, she proved that the world really is a sick machine.","[1, 1, 1, 5, 1, 3, 1, 1, 0, 0]",[0.9011222664441634],0
-4.23687188410017E+018,"VIRUS SPREADING LIKE WILDFIRE ON FB. ITS A TROJAN WORM VIRUS CALLED KOOBFACE. IT'LL STEAL YOUR INFO, INFEST YOUR SYSTEM AND SHUT IT DOWN. DO NOT OPEN THE LINK (BARACK OBAMA CLINTON SCANDAL)IF SOMEBODY CALLED /SMARTGRRL15/"" TRIES TO ADD U DON'T ACCEPT IT IS A VIRUS. IF SOMEBODY ON UR LIST ADDS THEM","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0]",[0.9561886023869863],1
7.2254549713404E+018,"Im having a cookout at my house on Sunday, July 11th. Id love to see my friends and their kids as well. Please let me know if you are coming and how many so I can get a headcount for food. Thanks! =)","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[0.9357687276750216],0
-1.77140553278259E+018,"Ther r relly only a few ppl n my friends list which i truly dnt kno, im proud 2 say... But they gone now lol","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",[0.8220946514362959],0
8.41999828800222E+018,"So... I gave Fred a bath today. He didn't hate it... but he didn't really like it either. At least, I don't think he hated it. He kept trying to slip out of the tub, and he did run around in circles trying to get the wet off... and I didn't get the water hot enough... but I don't think he HATED it or anything...","[1, 1, 1, 1, 1, 1, 2, 2, 1, 0]",[0.902838542368313],0
8.80539271146484E+018,"/A government big enough to give you everything you want is big enough to take away everything you have./"" - Thomas Jefferson""","[1, 5, 5, 4, 1, 5, 1, 1, 5, 0]",[0.9704446734639278],1
1.13839100827934E+018,Cute Attitude of a gal:--> I am not waiting for a King.. I am waiting for the one who thinks that I am his Queen...!!!:):),"[1, 5, 5, 1, 5, 5, 5, 1, 7, 0]",[0.8512813969222633],0
